image_name,roi_num,r_chlorophyll_a_max,r_chlorophyll_a_min,r_chlorophyll_a_mean,r_chlorophyll_a_exp,g_fitc_max,g_fitc_min,g_fitc_mean,g_fitc_exp,b_dapi_max,b_dapi_min,b_dapi_mean,b_dapi_exp,area,centroid_1,centroid_2,major_length,minor_length,perimeter
CaseStudy2.czi,95,6362,2174,5039.545752,37.088,1554,562,1051.54902,1209.493,2719,629,1059.171569,450,612,1608.470588,724.5539216,31.15746599,25.11727378,87.267
CaseStudy2.czi,96,7071,2345,5585.160991,37.088,1496,552,1066.589783,1209.493,1866,697,1069.735294,450,646,1630.597523,2053.179567,34.09354275,24.30738047,90.848
CaseStudy2.czi,97,3768,90,227.1827287,37.088,7116,1731,5099.690579,1209.493,11129,1052,2771.819166,450,3694,1666.696264,1697.582566,84.53780328,56.552562,237.338
CaseStudy2.czi,98,6762,2797,5414.880611,37.088,1774,640,1121.790831,1209.493,2191,523,848.4985673,450,1047,1659.292264,171.5463228,48.013086,27.85701059,120.29
CaseStudy2.czi,99,5837,93,374.6544601,37.088,8123,1720,5765.662676,1209.493,11006,814,2439.023944,450,4260,1698.326995,1639.509859,91.9123615,60.22054761,251.248
CaseStudy2.czi,100,7094,3281,5864.114155,37.088,1816,634,1152.489498,1209.493,1841,488,798.0465753,450,1095,1692.549772,705.0365297,41.97976176,33.25103473,116.213
CaseStudy2.czi,101,7259,2154,5731.138462,37.088,2153,608,1211.676923,1209.493,3358,607,1023.156044,450,910,1702.302198,1487.953846,41.18650746,28.24848805,109.325
CaseStudy2.czi,102,7101,2792,5719.643141,37.088,2176,568,1153.813121,1209.493,3567,527,1050.360835,450,1006,1705.759443,1363.404573,41.8730568,30.66025675,113.674
CaseStudy2.czi,103,8581,2623,7040.819101,37.088,2144,664,1481.964045,1209.493,2422,589,922.3741573,450,890,1718.033708,1692.693258,41.95784945,27.44847881,112.987
CaseStudy2.czi,104,6824,1924,5320.336039,37.088,1962,595,1181.176948,1209.493,4093,684,1333.196429,450,616,1733.428571,1468.670455,32.55329727,24.2372019,87.739
CaseStudy2.czi,105,8188,2352,6707.148612,37.088,4824,703,1737.679499,1209.493,2873,563,851.5407341,450,1117,1747.794987,1663.664279,40.47006907,35.49946704,118.454
CaseStudy2.czi,106,7043,2300,5558.811966,37.088,1526,666,1082.148148,1209.493,2650,609,998.9672365,450,702,1748.286325,1697.347578,34.01012803,26.6717594,96.927
CaseStudy2.czi,107,6816,2178,5326.436923,37.088,1571,625,1081.578462,1209.493,2285,680,1067.58,450,650,1819.886154,1299.087692,33.1834648,25.1528266,90.385
CaseStudy2.czi,108,6663,2467,5385.759784,37.088,1450,634,1040.740891,1209.493,1923,571,872.7638327,450,741,1818.696356,440.9406208,37.36522386,25.50897685,98.754
CaseStudy2.czi,109,6656,2362,5415.241916,37.088,1833,602,1148.697006,1209.493,2782,547,995.7173653,450,835,1826.810778,1547.311377,38.56354863,27.71343961,101.98
CaseStudy2.czi,110,6862,2690,5489.25,37.088,1503,550,1049.729947,1209.493,1989,643,1025.458556,450,748,1831.382353,1994.30615,35.17482541,27.25436154,96.984
CaseStudy2.czi,111,6984,2663,5438.149215,37.088,1650,619,1127.325916,1209.493,3648,616,1087.017016,450,764,1840.01178,1464.505236,36.87423686,26.5097375,97.993
CaseStudy2.czi,112,6703,2552,5272.554196,37.088,1474,653,969.7587413,1209.493,4700,545,1100.648601,450,572,1845.818182,451.527972,29.65575521,24.77430726,84.521
CaseStudy2.czi,113,7067,2860,5687.670644,37.088,1408,623,1037.5179,1209.493,1931,654,977.6360382,450,838,1860.529833,1920.189737,40.40477248,26.51596529,103.873
CaseStudy2.czi,114,8598,2099,5400.778116,37.088,2323,599,1472.233029,1209.493,1354,384,675.6139818,450,987,1908.120567,1339.18845,37.05297405,34.00027898,109.944
CaseStudy2.czi,115,7221,3075,5545.952179,37.088,1554,640,1046.368757,1209.493,2412,551,944.2167906,450,941,2003.850159,519.5770457,40.95750658,29.3305776,108.505
CaseStudy2.czi,116,6513,2999,5297.955224,37.088,1448,656,1030.380597,1209.493,1703,536,847.5358209,450,670,1999.108955,1903.564179,30.7431417,27.80558682,91.022
CaseStudy2.czi,117,7224,2849,5403.196809,37.088,1716,709,1175.191489,1209.493,1235,640,910.6223404,450,188,2003.148936,2204.654255,26.35990778,9.88987895,60.149
CaseStudy2.czi,118,6436,2128,5103.099265,37.088,1669,598,1099.582721,1209.493,3765,708,1317.294118,450,544,2027.354779,1772.981618,32.13367134,22.13164761,85.895
CaseStudy2.czi,119,6639,2007,5144.479371,37.088,1578,593,1033.117878,1209.493,2844,691,1191.324165,450,509,2034.229862,1437.500982,29.85393238,21.86658367,79.882
CaseStudy2.czi,120,6794,2790,5482.014035,37.088,1496,616,1046.978947,1209.493,1825,650,978.6327485,450,855,2042.389474,1793.769591,38.67858164,28.32564797,104.71
CaseStudy2.czi,121,6423,2487,5165.233038,37.088,1504,650,997.520649,1209.493,2334,502,900.7507375,450,678,2039.685841,559.1150442,34.82997685,24.94683046,94.859
CaseStudy2.czi,122,6918,2689,5430.35443,37.088,1618,696,1140.634177,1209.493,2020,608,1010.881013,450,790,2090.46962,1382.298734,41.06635983,24.63122214,103.072
